rubr0;rubr1;rubr_1_qty;rubr_1_import_share;rubr_0_qty;rubr_0_import_share
мониторы;мониторы фетальные;161;0.98;9536;0.56
мосты;барьеры искрозащиты;2204;0.13;7706;0.05
мосты;делители напряжения;779;0.12;7706;0.05
мосты;мосты постоянного тока;1932;0.01;7706;0.05
мосты;потенциометры;2387;0.0;7706;0.05
мосты;термостаты жидкостные;404;0.09;7706;0.05
мультиметры;мультиметpы;300;0.72;22360;0.89
мультиметры;мультиметры;3389;0.45;22360;0.89
мультиметры;мультиметры оптические;74;0.95;22360;0.89
мультиметры;мультиметры фотоколориметрические автоматизированные;19;0.0;22360;0.89
мультиметры;мультиметры цифровые;16631;0.99;22360;0.89
мультиметры;мультиметры цифровые прецизионные;1427;0.74;22360;0.89
мультиметры;мультиметры-калибраторы;247;1.0;22360;0.89
мультиметры;мультиметры-мегаомметры;273;1.0;22360;0.89
нивелиры;нивелиры;492;0.29;10018;0.95
нивелиры;нивелиры лазерные ротационные;92;0.96;10018;0.95
нивелиры;нивелиры оптико-механические с компенсатором;1458;0.99;10018;0.95
нивелиры;нивелиры оптические;4019;1.0;10018;0.95
нивелиры;нивелиры с компенсатором;3211;1.0;10018;0.95
нивелиры;нивелиры цифровые;348;0.74;10018;0.95
нивелиры;нивелиры электронные;398;1.0;10018;0.95
нутромеры;нутромеры индикаторные;3647;0.26;21025;0.24
нутромеры;нутромеры индикаторные с ценой;8127;0.19;21025;0.24
нутромеры;нутромеры микрометрические;2780;0.21;21025;0.24
нутромеры;нутромеры трехточечные;1371;0.92;21025;0.24
нутромеры;скобы индикаторные;715;0.47;21025;0.24
нутромеры;скобы рычажные;2991;0.03;21025;0.24
нутромеры;скобы с отсчетным устройством;1394;0.25;21025;0.24
осциллографы;осциллографы;756;0.23;10112;0.75
осциллографы;осциллографы двухканальные;117;0.36;10112;0.75
осциллографы;осциллографы двухлучевые;99;0.0;10112;0.75
осциллографы;осциллографы сервисные;55;0.76;10112;0.75
осциллографы;осциллографы универсальные;1509;0.07;10112;0.75
осциллографы;осциллографы цифровые;3428;1.0;10112;0.75
осциллографы;осциллографы цифровые запоминающие;2201;0.93;10112;0.75
осциллографы;осциллографы цифровые модульные;445;1.0;10112;0.75
осциллографы;осциллографы электронно-лучевые;532;0.78;10112;0.75
осциллографы;осциллографы-анализаторы спектра;60;1.0;10112;0.75
осциллографы;осциллографы-мультиметры цифровые;910;0.91;10112;0.75
пипетки;бюретки;11910;0.0;172034;0.0
пипетки;колбы;53395;0.01;172034;0.0
пипетки;пипетки с одной отметкой;96115;0.0;172034;0.0
пипетки;цилиндры;10614;0.01;172034;0.0
пирометры;пирометры;1388;0.92;5308;0.79
пирометры;пирометры инфракрасные;3827;0.76;5308;0.79
пирометры;пирометры оптические;18;0.06;5308;0.79
пирометры;пирометры портативные;68;0.29;5308;0.79
пирометры;пирометры точечные;7;1.0;5308;0.79
полуприцепы-цистерны;автомобили-цистерны;3;0.0;5050;0.02
полуприцепы-цистерны;автотопливозаправщики;745;0.0;5050;0.02
полуприцепы-цистерны;автотопливозаправщики и автоцистерны;78;0.0;5050;0.02
полуприцепы-цистерны;автоцистерны;488;0.02;5050;0.02
полуприцепы-цистерны;автоцистерны и автотопливозаправщики;760;0.02;5050;0.02
полуприцепы-цистерны;автоцистерны транспортные;35;0.0;5050;0.02
полуприцепы-цистерны;автоцистерны, автотопливозаправщики;416;0.0;5050;0.02
полуприцепы-цистерны;полуприцепы-топливозаправщики;48;0.0;5050;0.02
полуприцепы-цистерны;полуприцепы-цистерны;1617;0.05;5050;0.02
полуприцепы-цистерны;прицепы-цистерны;850;0.0;5050;0.02
полуприцепы-цистерны;топливовозы;10;0.0;5050;0.02
преобразователи;датчики перемещений (деформаций);406;0.62;628838;0.13
преобразователи;датчики разности давлений;761;0.01;628838;0.13
преобразователи;датчики расхода газа;2759;0.0;628838;0.13
преобразователи;датчики уровня;1549;0.01;628838;0.13
преобразователи;преобразователи;27045;0.41;628838;0.13
преобразователи;преобразователи виброизмерительные;1481;0.79;628838;0.13
преобразователи;преобразователи виброскорости;551;0.62;628838;0.13
преобразователи;преобразователи вихретоковые;132;0.98;628838;0.13
преобразователи;преобразователи влажности и температуры;567;0.95;628838;0.13
преобразователи;преобразователи вторичные;776;0.79;628838;0.13
преобразователи;преобразователи давления измерительные;109453;0.3;628838;0.13
преобразователи;преобразователи измерительные;32330;0.75;628838;0.13
преобразователи;преобразователи измерительные многофункциональные;12501;0.02;628838;0.13
преобразователи;преобразователи линейных перемещений;2564;0.78;628838;0.13
преобразователи;преобразователи напряжения измерительные;777;0.02;628838;0.13
преобразователи;преобразователи нормирующие;386;0.42;628838;0.13
преобразователи;преобразователи пневматические разности давлений;2214;0.05;628838;0.13
преобразователи;преобразователи промышленные;832;0.24;628838;0.13
преобразователи;преобразователи расхода электромагнитные;33013;0.03;628838;0.13
преобразователи;преобразователи температуры;7862;0.13;628838;0.13
преобразователи;преобразователи термоэлектрические;389861;0.01;628838;0.13
преобразователи;преобразователи уровня буйковые;854;0.36;628838;0.13
преобразователи;преобразователи частоты;164;0.55;628838;0.13
приборы;вторичные пневматические компенсационные интегрирующие;230;0.0;562632;0.9
приборы;приборы автоматические следящего уравновешивания;1119;0.0;562632;0.9
приборы;приборы аналоговые;2319;0.21;562632;0.9
приборы;приборы весоизмерительные;64;0.39;562632;0.9
приборы;приборы виброизмерительные;1192;0.0;562632;0.9
приборы;приборы вторичные;989;0.06;562632;0.9
приборы;приборы для измерения артериального;513827;0.95;562632;0.9
приборы;приборы измерительные;218;0.09;562632;0.9
приборы;приборы кабельные;512;0.0;562632;0.9
приборы;приборы комбинированные;25735;0.74;562632;0.9
приборы;приборы контроля изоляции;1876;0.03;562632;0.9
приборы;приборы многофункциональные электроизмерительные;2537;0.03;562632;0.9
приборы;приборы показывающие и регистрирующие;813;0.01;562632;0.9
приборы;приборы регистрирующие;2420;0.1;562632;0.9
приборы;приборы счетные одноканальные;105;0.0;562632;0.9
приборы;приборы щитовые цифровые электроизмерительные;4709;0.01;562632;0.9
приборы;приборы электроизмерительные многофункциональные;3696;0.01;562632;0.9
приборы;приборы энергетика многофункциональные портативные;271;0.0;562632;0.9
радиометры;альфа-бета радиометры для измерений;220;0.0;1809;0.05
радиометры;бета-радиометры;272;0.08;1809;0.05
радиометры;гамма-спектрометры;58;0.33;1809;0.05
радиометры;радиометры;163;0.21;1809;0.05
радиометры;радиометры газов;868;0.01;1809;0.05
радиометры;радиометры-дозиметры;228;0.0;1809;0.05
расходомеры;массомеры;2;1.0;52262;0.15
расходомеры;расходомеры;1723;0.26;52262;0.15
расходомеры;расходомеры вихревые;758;0.96;52262;0.15
расходомеры;расходомеры газа ультразвуковые;811;0.34;52262;0.15
расходомеры;расходомеры жидких сред;30;0.0;52262;0.15
расходомеры;расходомеры жидкости ультразвуковые двухканальные;363;0.29;52262;0.15
расходомеры;расходомеры кориолисовые;423;0.34;52262;0.15
расходомеры;расходомеры массовые;904;1.0;52262;0.15
расходомеры;расходомеры ультразвуковые;517;0.48;52262;0.15
расходомеры;расходомеры электромагнитные;8696;0.19;52262;0.15
расходомеры;расходомеры-счетчики жидкости ультразвуковые;3996;0.15;52262;0.15
расходомеры;расходомеры-счетчики электромагнитные;33437;0.08;52262;0.15
расходомеры;счетчики-расходомеры;602;0.25;52262;0.15
регистраторы;измерители-регуляторы микропроцессорные;30940;0.02;34426;0.04
регистраторы;регистраторы безбумажные;3486;0.22;34426;0.04
резервуары;резервуар железобетонный вертикальный цилиндрический;4;0.0;591;0.0
резервуары;резервуары вертикальные стальные цилиндрические;72;0.0;591;0.0
резервуары;резервуары горизонтальные стальные;18;0.0;591;0.0
резервуары;резервуары горизонтальные стальные цилиндрические;79;0.0;591;0.0
резервуары;резервуары горизонтальные товарной марки;7;0.0;591;0.0
резервуары;резервуары железобетонные прямоугольные;8;0.0;591;0.0
резервуары;резервуары стальные вертикальные цилиндрические;399;0.01;591;0.0
резервуары;резервуары стальные горизонтальные;4;0.0;591;0.0
рефлектометры;мини-рефлектометры оптические;44;1.0;1366;0.48
рефлектометры;ретрорефлектометры;420;0.26;1366;0.48
рефлектометры;рефлектометры;108;0.03;1366;0.48
рефлектометры;рефлектометры импульсные;76;0.05;1366;0.48
рефлектометры;рефлектометры оптические;718;0.7;1366;0.48
рефрактометры;дифрактометры рентгеновские;18;0.89;3806;0.58
рефрактометры;поляриметры автоматические;125;0.54;3806;0.58
рефрактометры;рефрактометры;1462;0.16;3806;0.58
рефрактометры;рефрактометры автоматические цифровые;1081;0.82;3806;0.58
рефрактометры;титраторы автоматические;1120;0.88;3806;0.58
рулетки;метроштоки;5740;0.0;48220;0.32
рулетки;рулетки измерительные металлические;35100;0.3;48220;0.32
рулетки;рулетки измерительные металлические 2-го;6155;0.82;48220;0.32
рулетки;уровни электронные;1225;0.11;48220;0.32
сигнализаторы;метан-реле для забойных машин;371;0.0;236265;0.06
сигнализаторы;сигнализаторы;35523;0.17;236265;0.06
сигнализаторы;сигнализаторы газа бытовые;9937;0.08;236265;0.06
сигнализаторы;сигнализаторы горючих газов;13042;0.02;236265;0.06
сигнализаторы;сигнализаторы загазованности;161915;0.02;236265;0.06
сигнализаторы;сигнализаторы метана;3311;0.02;236265;0.06
сигнализаторы;сигнализаторы оксида углерода;9530;0.14;236265;0.06
сигнализаторы;сигнализаторы термохимические;2636;0.71;236265;0.06
система;комплексы автоматики и телемеханики;35;0.0;21245;0.25
система;комплексы обработки диаграмм;13;0.0;21245;0.25
система;система автоматизированная информационно-измерительная коммерческого;4452;0.31;21245;0.25
система;система фотоэлектрическая;16;0.0;21245;0.25
система;системы аварийного отключения газа;290;0.42;21245;0.25
система;системы автоматизированные измерительные;228;0.28;21245;0.25
система;системы автоматического управления;12;0.92;21245;0.25
система;системы амбулаторные электрокардиографические;859;0.04;21245;0.25
система;системы бесконтактных измерений;79;0.71;21245;0.25
система;системы видеоизмерительные;130;0.53;21245;0.25
система;системы высокого напряжения измерительные;28;0.0;21245;0.25
система;системы газоаналитические;3287;0.16;21245;0.25
система;системы дорожного контроля;37;0.0;21245;0.25
система;системы измерений длительности соединений;1944;0.41;21245;0.25
система;системы измерительно-управляющие;375;0.55;21245;0.25
система;системы измерительные;2331;0.04;21245;0.25
система;системы капиллярного электрофореза;325;0.04;21245;0.25
система;системы комплексного управления мультипроцессорные;50;0.26;21245;0.25
система;системы контроля загазованности;263;0.15;21245;0.25
система;системы лазерные координатно-измерительные;128;0.95;21245;0.25
система;системы лазерные координатно-измерительные сканирующие;4751;0.13;21245;0.25
система;системы мобильного сканирования;59;0.9;21245;0.25
система;системы мониторинга роторных агрегатов;92;0.09;21245;0.25
система;системы оптические измерительные;314;1.0;21245;0.25
система;системы повременного учета соединений;56;0.07;21245;0.25
система;системы радиационного контроля;32;0.03;21245;0.25
система;системы термолюминесцентные дозиметрические;16;0.06;21245;0.25
система;системы управления виброиспытаниями;1040;0.8;21245;0.25
система;узлы учета нефтепродуктов;3;1.0;21245;0.25
спектрометры;спектрометры атомно-абсорбционные;651;0.31;1871;0.54
спектрометры;спектрометры комбинационного рассеяния;31;0.35;1871;0.54
спектрометры;спектрометры оптико-эмиссионные;98;1.0;1871;0.54
спектрометры;спектрометры оптические эмиссионные;97;1.0;1871;0.54
спектрометры;спектрометры рентгеновского и гамма-излучения;39;0.56;1871;0.54
спектрометры;спектрометры рентгенофлуоресцентные;212;1.0;1871;0.54
спектрометры;спектрометры рентгенофлуоресцентные энергодисперсионные;36;0.83;1871;0.54
спектрометры;спектрометры эмиссионные;230;0.29;1871;0.54
спектрометры;спектрометры эмиссионные с индуктивно;365;0.67;1871;0.54
спектрометры;спектрометры энергий рентгеновского излучения;112;0.29;1871;0.54
спектрофотометры;спектроколориметры;135;0.84;5412;0.66
спектрофотометры;спектроколориметры многоугловые;3;1.0;5412;0.66
спектрофотометры;спектрофлуориметры;8;0.62;5412;0.66
спектрофотометры;спектрофотометры;4892;0.63;5412;0.66
спектрофотометры;спектрофотометры атомно-абсорбционные;202;0.94;5412;0.66
спектрофотометры;спектрофотометры медицинские;159;0.99;5412;0.66
спектрофотометры;спектрофотометры прецизионные;7;1.0;5412;0.66
спектрофотометры;спектрофотометры сканирующие;6;1.0;5412;0.66
станции;бруски контрольные;333;0.07;87851;0.1
станции;кольца установочные;3197;0.78;87851;0.1
станции;линии измерительные;78;0.03;87851;0.1
станции;мензурки вместимостью 50, 100,;6532;0.0;87851;0.1
станции;нагрузки электронные;627;0.94;87851;0.1
станции;образцы шероховатости поверхности (сравнения);676;0.0;87851;0.1
станции;полигон пространственный эталонный;1960;0.0;87851;0.1
станции;преобразователи точки росы;5685;0.03;87851;0.1
станции;системы акустико-эмиссионные;8272;0.07;87851;0.1
станции;сита лабораторные;48244;0.08;87851;0.1
станции;станции автозаправочные передвижные;890;0.35;87851;0.1
станции;тележки весоповерочные самоходные;295;0.03;87851;0.1
станции;шунты измерительные стационарные взаимозаменяемые;8447;0.01;87851;0.1
станции;эквиваленты сети;63;0.9;87851;0.1
станции;электроэнцефалографы-анализаторы;2552;0.04;87851;0.1
стенды;стенды аэродинамические;21;0.0;2569;0.2
стенды;стенды балансировочные;14;1.0;2569;0.2
стенды;стенды диагностические компьютерные;3;0.0;2569;0.2
стенды;стенды для измерений тормозной;841;0.17;2569;0.2
стенды;стенды для поверки локомотивных;149;0.28;2569;0.2
стенды;стенды силовые роликовые тормозные;61;1.0;2569;0.2
стенды;стенды тормозные;1464;0.16;2569;0.2
стенды;стенды универсальные коллиматорные;16;0.19;2569;0.2
счетчики;конверторы выносные;13;0.0;10328882;0.03
счетчики;счетчики активной электрической энергии;39041;0.0;10328882;0.03
счетчики;счетчики аэрозольных частиц;753;0.81;10328882;0.03
счетчики;счетчики воды крыльчатые;1064052;0.02;10328882;0.03
счетчики;счетчики времени наработки;1815;0.0;10328882;0.03
счетчики;счетчики газа;541233;0.02;10328882;0.03
счетчики;счетчики газа бытовые;266511;0.06;10328882;0.03
счетчики;счетчики газа ротационные;43842;0.13;10328882;0.03
счетчики;счетчики горячей воды;13745;0.43;10328882;0.03
счетчики;счетчики жидкости;7116;0.05;10328882;0.03
счетчики;счетчики импульсов микропроцессорные;5073;0.0;10328882;0.03
счетчики;счетчики нефти турбинные;8326;0.01;10328882;0.03
счетчики;счетчики однофазные статические;2230;0.0;10328882;0.03
счетчики;счетчики тепла;14280;0.0;10328882;0.03
счетчики;счетчики тепловой энергии;594;0.99;10328882;0.03
счетчики;счетчики ультразвуковые;1403;0.0;10328882;0.03
счетчики;счетчики холодной воды;22304;0.57;10328882;0.03
счетчики;счетчики холодной и горячей;6823716;0.04;10328882;0.03
счетчики;счетчики электрической энергии;181902;0.0;10328882;0.03
счетчики;счетчики электрической энергии многофункциональные;251240;0.01;10328882;0.03
счетчики;счетчики электрической энергии трехфазные;1039650;0.01;10328882;0.03
счетчики;тепловодосчетчики;43;0.0;10328882;0.03
тахеометры;тахеометр электронный эталонный;2;1.0;8572;0.98
тахеометры;тахеометры электронные;7926;0.98;8572;0.98
тахеометры;тахеометры электронные взрывозащищенные;20;0.0;8572;0.98
тахеометры;тахеометры электронные под товарным;624;1.0;8572;0.98
тахометры;люксметры;3304;0.31;89162;0.1
тахометры;рейки дорожные универсальные;5654;0.62;89162;0.1
тахометры;тарификаторы таксофона;15540;0.0;89162;0.1
тахометры;тахографы цифровые;58264;0.05;89162;0.1
тахометры;тахометры электронные;1937;0.5;89162;0.1
тахометры;теодолиты;825;0.04;89162;0.1
тахометры;теодолиты электронные;753;0.99;89162;0.1
тахометры;фазометры;167;0.0;89162;0.1
тахометры;шаблоны путевые;2718;0.0;89162;0.1
твердомеры;микротвердомеры;120;0.4;3583;0.15
твердомеры;твердомеры;491;0.16;3583;0.15
твердомеры;твердомеры виккерса;131;0.63;3583;0.15
твердомеры;твердомеры динамические малогабаритные;161;0.04;3583;0.15
твердомеры;твердомеры портативные динамические;1234;0.13;3583;0.15
твердомеры;твердомеры роквелла;143;0.48;3583;0.15
твердомеры;твердомеры стационарные универсальные;64;0.95;3583;0.15
твердомеры;твердомеры универсальные;1239;0.03;3583;0.15
тепловизоры;камеры инфракрасные;234;1.0;2183;0.99
тепловизоры;камеры испытательные газовые переносные;1;0.0;2183;0.99
тепловизоры;камеры тепловизионные;105;1.0;2183;0.99
тепловизоры;тепловизоры;214;0.92;2183;0.99
тепловизоры;тепловизоры инфракрасные;1629;1.0;2183;0.99
тепловычислители;вычислители;2162;0.0;34463;0.03
тепловычислители;вычислители количества теплоты;7605;0.0;34463;0.03
тепловычислители;вычислители расхода природного газа;71;0.83;34463;0.03
тепловычислители;вычислители тепловой энергии;561;0.01;34463;0.03
тепловычислители;корректоры;1395;0.0;34463;0.03
тепловычислители;корректоры объема газа;5348;0.04;34463;0.03
тепловычислители;тепловычислители;17321;0.04;34463;0.03
теплосчетчики;теплосчетчики;133935;0.11;156005;0.12
теплосчетчики;теплосчетчики им2300тм;9;0.0;156005;0.12
теплосчетчики;теплосчетчики компактные;14717;0.19;156005;0.12
теплосчетчики;теплосчетчики механические;21;0.0;156005;0.12
теплосчетчики;теплосчетчики многоканальные;864;0.0;156005;0.12
теплосчетчики;теплосчетчики ультразвуковые;4788;0.35;156005;0.12
теплосчетчики;теплосчетчики электромагнитные;13;0.0;156005;0.12
теплосчетчики;теплосчетчики-водомеры;7;0.0;156005;0.12
теплосчетчики;теплосчетчики-регистраторы;1463;0.0;156005;0.12
теплосчетчики;теплосчетчики-регистраторы многоканальные;188;0.0;156005;0.12
термометры;термометры;23053;0.03;3737219;0.89
термометры;термометры биметаллические;147906;0.1;3737219;0.89
термометры;термометры жидкостные стеклянные;3380;0.07;3737219;0.89
термометры;термометры инфракрасные;3587;0.9;3737219;0.89
термометры;термометры контактные цифровые;8369;0.47;3737219;0.89
термометры;термометры лабораторные электронные;58521;0.01;3737219;0.89
термометры;термометры манометрические;5268;0.16;3737219;0.89
термометры;термометры медицинские цифровые;2558922;1.0;3737219;0.89
термометры;термометры метеорологические стеклянные;2981;0.0;3737219;0.89
термометры;термометры ртутные стеклянные лабораторные;10217;0.0;3737219;0.89
термометры;термометры сопротивления;68053;0.02;3737219;0.89
термометры;термометры стеклянные;41177;0.02;3737219;0.89
термометры;термометры технические жидкостные;72406;0.0;3737219;0.89
термометры;термометры цифровые;9504;0.87;3737219;0.89
термометры;термометры электронные;723875;1.0;3737219;0.89
термопреобразователи;катушки для калибровки бесконтактных;131;0.49;105419;0.11
термопреобразователи;катушки электрического сопротивления;4116;0.0;105419;0.11
термопреобразователи;сопротивления добавочные;220;0.02;105419;0.11
термопреобразователи;термопреобразователи;14818;0.01;105419;0.11
термопреобразователи;термопреобразователи с унифицированным выходным;16769;0.04;105419;0.11
термопреобразователи;термопреобразователи сопротивления;47397;0.09;105419;0.11
термопреобразователи;термопреобразователи сопротивления взрывозащищенные;2180;0.0;105419;0.11
термопреобразователи;термопреобразователи сопротивления платиновые;12856;0.53;105419;0.11
термопреобразователи;термопреобразователи универсальные;5124;0.0;105419;0.11
термопреобразователи;элементы нормальные;492;0.0;105419;0.11
термопреобразователи;элементы термометрические чувствительные платиновые;1316;0.0;105419;0.11
тестеры;тестеры аккумуляторных батарей;108;0.81;2316;0.54
тестеры;тестеры оптические;2208;0.52;2316;0.54
толщиномеры;толщиномеры;640;0.2;9334;0.21
толщиномеры;толщиномеры индикаторные;981;0.02;9334;0.21
толщиномеры;толщиномеры индукционные;57;0.28;9334;0.21
толщиномеры;толщиномеры магнитные;65;0.35;9334;0.21
толщиномеры;толщиномеры покрытий;2076;0.43;9334;0.21
толщиномеры;толщиномеры покрытий магнитные;629;0.07;9334;0.21
толщиномеры;толщиномеры ультразвуковые;4770;0.19;9334;0.21
толщиномеры;толщиномеры электромагнитно-акустические;116;0.0;9334;0.21
трансформаторы;трансформаторы комбинированные;67;0.45;333250;0.27
трансформаторы;трансформаторы напряжения;8725;0.08;333250;0.27
трансформаторы;трансформаторы напряжения антирезонансные;180;0.0;333250;0.27
трансформаторы;трансформаторы напряжения емкостные;247;0.68;333250;0.27
трансформаторы;трансформаторы напряжения заземляемые;3162;0.0;333250;0.27
трансформаторы;трансформаторы напряжения измерительные;402;0.19;333250;0.27
трансформаторы;трансформаторы напряжения измерительные лабораторные;64;0.0;333250;0.27
трансформаторы;трансформаторы напряжения однофазные;31;0.0;333250;0.27
трансформаторы;трансформаторы тока;193959;0.14;333250;0.27
трансформаторы;трансформаторы тока встроенные;1865;0.23;333250;0.27
трансформаторы;трансформаторы тока измерительные;14004;0.4;333250;0.27
трансформаторы;трансформаторы тока измерительные 0,66;351;0.0;333250;0.27
трансформаторы;трансформаторы тока измерительные на;57867;0.96;333250;0.27
трансформаторы;трансформаторы тока лабораторные;1;0.0;333250;0.27
трансформаторы;трансформаторы тока опорные;15090;0.0;333250;0.27
трансформаторы;трансформаторы тока проходные;1528;0.0;333250;0.27
трансформаторы;трансформаторы тока шинные;34936;0.0;333250;0.27
трансформаторы;трансформаторы тока элегазовые;771;0.0;333250;0.27
тягомеры,;дифманометры стрелочные показывающие;2513;0.0;34468;0.05
тягомеры,;тягомеры, напоромеры, тягонапоромеры мембранные;31955;0.05;34468;0.05
уровнемеры;радары радиоволновые;9;0.11;10497;0.57
уровнемеры;уровнемеры;3299;0.32;10497;0.57
уровнемеры;уровнемеры буйковые;2020;0.79;10497;0.57
уровнемеры;уровнемеры микроволновые;2626;0.83;10497;0.57
уровнемеры;уровнемеры поплавковые;870;0.15;10497;0.57
уровнемеры;уровнемеры радарные;363;0.81;10497;0.57
уровнемеры;уровнемеры ультразвуковые;1262;0.53;10497;0.57
уровнемеры;уровнемеры электронные переносные;48;0.98;10497;0.57
усилители;капсюли микрофонные конденсаторные;234;0.62;926;0.48
усилители;усилители измерительные;692;0.43;926;0.48
установки;установка образцовая;17;0.0;8764;0.1
установки;установки аэродинамические;33;0.03;8764;0.1
установки;установки высоковольтные измерительные;104;0.0;8764;0.1
установки;установки для поверки вольтметров;752;0.04;8764;0.1
установки;установки для поверки счетчиков;2530;0.18;8764;0.1
установки;установки дозиметрические термолюминесцентные;34;0.06;8764;0.1
установки;установки измерительные;1308;0.06;8764;0.1
установки;установки магнитоизмерительные;77;0.16;8764;0.1
установки;установки многофункциональные измерительные;80;1.0;8764;0.1
установки;установки поверочные;1018;0.14;8764;0.1
установки;установки поверочные для счетчиков;198;0.07;8764;0.1
установки;установки поверочные переносные;953;0.0;8764;0.1
установки;установки поверочные расходомерные;218;0.02;8764;0.1
установки;установки радиометрические;518;0.03;8764;0.1
установки;установки расходомерные массовые;16;0.0;8764;0.1
установки;установки топливораздаточные;885;0.04;8764;0.1
установки;установки трубопоршневые;23;0.17;8764;0.1
устройства;испытатели линейных интегральных схем;2;0.0;126996;0.19
устройства;устройства весоизмерительные;480;0.9;126996;0.19
устройства;устройства детектирования;110;0.05;126996;0.19
устройства;устройства для измерений углов;53480;0.2;126996;0.19
устройства;устройства измерительные параметров релейной;46302;0.27;126996;0.19
устройства;устройства испытательные;1208;0.0;126996;0.19
устройства;устройства многоканальной сигнализации;1305;0.02;126996;0.19
устройства;устройства сбора данных;43;0.12;126996;0.19
устройства;устройства сбора и передачи;3786;0.01;126996;0.19
устройства;устройства синхронизации времени;283;0.0;126996;0.19
устройства;устройства телемеханики удаленные;8;0.25;126996;0.19
устройства;устройства тензометрические весоизмерительные электронные;19989;0.04;126996;0.19
фотометры;фотометры;312;0.05;3321;0.39
фотометры;фотометры для микропланшетов;294;0.97;3321;0.39
фотометры;фотометры лабораторные медицинские;457;1.0;3321;0.39
фотометры;фотометры микропланшетные;245;0.99;3321;0.39
фотометры;фотометры пламенные;651;0.48;3321;0.39
фотометры;фотометры фотоэлектрические;1362;0.0;3321;0.39
фурье-спектрометры;калориметры бомбовые;177;0.64;825;0.45
фурье-спектрометры;фурье-спектрометры инфракрасные;648;0.4;825;0.45
хроматографы;хроматографы;312;0.1;3754;0.52
хроматографы;хроматографы газовые;1362;0.6;3754;0.52
хроматографы;хроматографы газовые аналитические;501;0.0;3754;0.52
хроматографы;хроматографы газовые промышленные;113;0.76;3754;0.52
хроматографы;хроматографы жидкостные;986;0.74;3754;0.52
хроматографы;хроматографы жидкостные микроколоночные;43;0.12;3754;0.52
хроматографы;хроматографы жидкостные/ионные;321;0.68;3754;0.52
хроматографы;хроматографы ионные;67;1.0;3754;0.52
хроматографы;хроматографы лабораторные газовые;49;0.0;3754;0.52
частотомеры;частотомеры;1317;0.13;6060;0.26
частотомеры;частотомеры резонансные;30;0.0;6060;0.26
частотомеры;частотомеры универсальные;745;0.93;6060;0.26
частотомеры;частотомеры цифровые;79;0.37;6060;0.26
частотомеры;частотомеры щитовые;102;0.0;6060;0.26
частотомеры;частотомеры электронно-счетные;2978;0.23;6060;0.26
частотомеры;частотомеры электронно-счетные с преобразователями;809;0.03;6060;0.26
штангенциркули;высотомеры;54;0.46;137619;0.28
штангенциркули;глубиномеры микрометрические;1614;0.15;137619;0.28
штангенциркули;зубомеры тангенциальные;7;0.0;137619;0.28
штангенциркули;угломеры маятниковые;1321;0.13;137619;0.28
штангенциркули;угломеры с нониусом;5025;0.09;137619;0.28
штангенциркули;штангенглубиномеры;8394;0.18;137619;0.28
штангенциркули;штангензубомеры с нониусами;595;0.2;137619;0.28
штангенциркули;штангенрейсмасы;7216;0.16;137619;0.28
штангенциркули;штангенциркули;89514;0.14;137619;0.28
штангенциркули;штангенциркули цифровые;23879;0.95;137619;0.28
электроды;станки балансировочные;267;0.78;15166;0.01
электроды;электроды ионоселективные;14899;0.0;15166;0.01
электрокардиографы;электрокардиографы;5295;0.33;9351;0.28
электрокардиографы;электрокардиографы 6-канальные;274;0.99;9351;0.28
электрокардиографы;электрокардиографы одно-, трехканальные;2867;0.04;9351;0.28
электрокардиографы;электрокардиографы одноканальные;135;0.46;9351;0.28
электрокардиографы;электрокардиографы портативные;322;0.29;9351;0.28
электрокардиографы;электрокардиографы трехканальные;458;0.66;9351;0.28
